Date,Price,Open,High,Low,Vol.,Weekly Change %,Change %
"Nov 13, 2022","16,615.50","16,803.90","17,158.40","15,834.00",1.58M,-0.0107,-1.07
"Nov 06, 2022","16,795.20","21,298.70","21,360.40","15,603.30",4.02M,-0.2116,-21.16
"Oct 30, 2022","21,301.60","20,809.40","21,464.70","20,065.80",2.62M,0.0236,2.36
"Oct 23, 2022","20,809.80","19,204.80","21,038.10","19,092.50",2.25M,0.0836,8.36
"Oct 16, 2022","19,204.80","19,068.80","19,692.90","18,703.30",1.72M,0.0071,0.71
"Oct 09, 2022","19,068.70","19,416.30","19,933.90","18,207.90",2.12M,-0.0178,-1.78
"Oct 02, 2022","19,415.00","19,311.90","20,436.70","18,937.30",2.17M,0.0053,0.53
"Sep 25, 2022","19,311.90","18,925.10","20,361.20","18,505.30",3.37M,0.0204,2.04
"Sep 18, 2022","18,925.20","20,113.90","20,113.90","18,191.80",2.82M,-0.0591,-5.91
"Sep 11, 2022","20,113.50","21,650.40","22,702.50","19,352.90",2.58M,-0.0710,-7.1
"Sep 04, 2022","21,650.40","19,832.20","21,790.60","18,548.40",2.38M,0.0917,9.17
"Aug 28, 2022","19,831.40","20,034.20","20,558.20","19,542.90",1.85M,-0.0101,-1.01
"Aug 21, 2022","20,033.90","21,138.90","21,832.30","19,849.80",1.70M,-0.0523,-5.23
"Aug 14, 2022","21,138.90","24,442.10","25,205.70","20,784.80",1.73M,-0.1352,-13.52
"Aug 07, 2022","24,442.50","22,944.20","24,882.90","22,714.70",1.39M,0.0653,6.53
"Jul 31, 2022","22,944.20","23,634.20","24,179.30","22,438.70",1.25M,-0.0292,-2.92
"Jul 24, 2022","23,634.20","22,449.80","24,605.30","20,737.30",1.49M,0.0523,5.23
"Jul 17, 2022","22,460.40","21,209.80","24,258.00","20,755.20",1.61M,0.0590,5.9
"Jul 10, 2022","21,209.90","21,587.40","21,599.20","18,942.20",1.31M,-0.0175,-1.75
"Jul 03, 2022","21,587.50","19,243.40","22,482.10","18,794.40",1.39M,0.1218,12.18
"Jun 26, 2022","19,243.20","21,489.90","21,837.40","18,682.70",742.87K,-0.1045,-10.45
"Jun 19, 2022","21,489.90","18,983.40","21,689.30","17,983.70",889.96K,0.1319,13.19
"Jun 12, 2022","18,986.50","28,404.00","28,534.80","17,630.50",1.44M,-0.3315,-33.15
"Jun 05, 2022","28,403.40","29,865.10","31,753.40","28,161.80",614.26K,-0.0489,-4.89
"May 29, 2022","29,864.30","29,027.10","32,377.50","28,838.70",610.88K,0.0288,2.88
"May 22, 2022","29,027.10","29,433.00","30,644.80","28,077.90",658.54K,-0.0138,-1.38
"May 15, 2022","29,434.60","30,078.60","31,383.80","28,648.10",630.05K,-0.0215,-2.15
"May 08, 2022","30,080.40","35,468.00","35,497.00","26,500.50",672.43M,-0.1519,-15.19
"May 01, 2022","35,468.00","37,642.00","40,021.00","34,773.00",4.43B,-0.0580,-5.8
"Apr 24, 2022","37,650.00","39,434.00","40,770.00","37,596.00",3.35B,-0.0449,-4.49
"Apr 17, 2022","39,418.00","40,382.00","42,969.00","38,577.00",2.66B,-0.0239,-2.39
"Apr 10, 2022","40,382.00","42,760.00","43,421.00","39,202.00",2.49B,-0.0558,-5.58
"Apr 03, 2022","42,767.00","45,813.00","47,435.00","42,113.00",3.23B,-0.0664,-6.64
"Mar 27, 2022","45,811.00","44,542.00","48,199.00","44,261.00",3.66B,0.0284,2.84
"Mar 20, 2022","44,548.00","42,241.00","45,112.00","40,530.00",3.16B,0.0548,5.48
"Mar 13, 2022","42,233.00","38,813.20","42,386.00","37,603.40",17.07B,0.0881,8.81
"Mar 06, 2022","38,814.30","39,396.30","42,538.50","37,182.10",20.31B,-0.0148,-1.48
"Feb 27, 2022","39,395.80","39,116.60","45,294.20","37,062.30",6.23B,0.0072,0.72
"Feb 20, 2022","39,115.50","40,089.60","40,120.30","34,357.40",635.91K,-0.0243,-2.43
"Feb 13, 2022","40,090.30","42,205.50","44,722.60","39,505.00",376.77K,-0.0501,-5.01
"Feb 06, 2022","42,205.20","41,411.90","45,755.20","41,176.30",473.29K,0.0192,1.92
"Jan 30, 2022","41,412.10","38,167.50","41,899.80","36,297.30",451.36K,0.0849,8.49
"Jan 23, 2022","38,170.80","35,072.90","38,862.60","32,985.60",630.11K,0.0883,8.83
"Jan 16, 2022","35,075.20","43,079.20","43,487.10","34,116.00",541.76K,-0.1861,-18.61
"Jan 09, 2022","43,097.00","41,681.20","44,404.70","39,697.00",391.26K,0.0342,3.42
"Jan 02, 2022","41,672.00","47,738.70","47,944.90","40,574.30",446.80K,-0.1271,-12.71
"Dec 26, 2021","47,738.00","50,404.00","52,016.30","45,693.60",391.96K,-0.0529,-5.29
"Dec 19, 2021","50,406.40","46,855.70","51,795.30","45,577.30",343.62K,0.0758,7.58
"Dec 12, 2021","46,856.20","49,332.50","50,779.20","45,513.40",446.80K,-0.0498,-4.98
"Dec 05, 2021","49,314.50","49,196.40","51,918.60","46,834.00",470.49K,0.0024,0.24
"Nov 28, 2021","49,195.20","54,758.00","59,174.40","42,587.80",485.37K,-0.1017,-10.17
"Nov 21, 2021","54,765.90","59,724.00","60,002.60","53,533.50",512.69K,-0.0829,-8.29
