Date,Category,Weekly % change in price
21/11/2021,S&P500 change %,-2.2
21/11/2021,Bitcoin change %,-8.29
28/11/2021,S&P500 change %,-1.22
28/11/2021,Bitcoin change %,-10.17
05/12/2021,S&P500 change %,3.82
05/12/2021,Bitcoin change %,0.24
12/12/2021,S&P500 change %,-1.94
12/12/2021,Bitcoin change %,-4.98
19/12/2021,S&P500 change %,2.28
19/12/2021,Bitcoin change %,7.58
26/12/2021,S&P500 change %,0.85
26/12/2021,Bitcoin change %,-5.29
02/01/2022,S&P500 change %,-1.87
02/01/2022,Bitcoin change %,-12.71
09/01/2022,S&P500 change %,-0.3
09/01/2022,Bitcoin change %,3.42
16/01/2022,S&P500 change %,-5.68
16/01/2022,Bitcoin change %,-18.61
23/01/2022,S&P500 change %,0.77
23/01/2022,Bitcoin change %,8.83
30/01/2022,S&P500 change %,1.55
30/01/2022,Bitcoin change %,8.49
06/02/2022,S&P500 change %,-1.82
06/02/2022,Bitcoin change %,1.92
13/02/2022,S&P500 change %,-1.58
13/02/2022,Bitcoin change %,-5.01
20/02/2022,S&P500 change %,0.82
20/02/2022,Bitcoin change %,-2.43
27/02/2022,S&P500 change %,-1.27
27/02/2022,Bitcoin change %,0.72
06/03/2022,S&P500 change %,-2.88
06/03/2022,Bitcoin change %,-1.48
13/03/2022,S&P500 change %,6.16
13/03/2022,Bitcoin change %,8.81
20/03/2022,S&P500 change %,1.79
20/03/2022,Bitcoin change %,5.48
27/03/2022,S&P500 change %,0.06
27/03/2022,Bitcoin change %,2.84
03/04/2022,S&P500 change %,-1.27
03/04/2022,Bitcoin change %,-6.64
10/04/2022,S&P500 change %,-2.13
10/04/2022,Bitcoin change %,-5.58
17/04/2022,S&P500 change %,-2.75
17/04/2022,Bitcoin change %,-2.39
24/04/2022,S&P500 change %,-3.27
24/04/2022,Bitcoin change %,-4.49
01/05/2022,S&P500 change %,-0.21
01/05/2022,Bitcoin change %,-5.8
08/05/2022,S&P500 change %,-2.41
08/05/2022,Bitcoin change %,-15.19
15/05/2022,S&P500 change %,-3.05
15/05/2022,Bitcoin change %,-2.15
22/05/2022,S&P500 change %,6.58
22/05/2022,Bitcoin change %,-1.38
29/05/2022,S&P500 change %,-1.2
29/05/2022,Bitcoin change %,2.88
05/06/2022,S&P500 change %,-5.05
05/06/2022,Bitcoin change %,-4.89
12/06/2022,S&P500 change %,-5.79
12/06/2022,Bitcoin change %,-33.15
19/06/2022,S&P500 change %,6.45
19/06/2022,Bitcoin change %,13.19
26/06/2022,S&P500 change %,-2.21
26/06/2022,Bitcoin change %,-10.45
03/07/2022,S&P500 change %,1.94
03/07/2022,Bitcoin change %,12.18
10/07/2022,S&P500 change %,-0.93
10/07/2022,Bitcoin change %,-1.75
17/07/2022,S&P500 change %,2.55
17/07/2022,Bitcoin change %,5.9
24/07/2022,S&P500 change %,4.26
24/07/2022,Bitcoin change %,5.23
31/07/2022,S&P500 change %,0.36
31/07/2022,Bitcoin change %,-2.92
07/08/2022,S&P500 change %,3.26
07/08/2022,Bitcoin change %,6.53
14/08/2022,S&P500 change %,-1.21
14/08/2022,Bitcoin change %,-13.52
21/08/2022,S&P500 change %,-4.04
21/08/2022,Bitcoin change %,-5.23
28/08/2022,S&P500 change %,-3.29
28/08/2022,Bitcoin change %,-1.01
04/09/2022,S&P500 change %,3.65
04/09/2022,Bitcoin change %,9.17
11/09/2022,S&P500 change %,-4.77
11/09/2022,Bitcoin change %,-7.1
18/09/2022,S&P500 change %,-4.65
18/09/2022,Bitcoin change %,-5.91
25/09/2022,S&P500 change %,-2.91
25/09/2022,Bitcoin change %,2.04
02/10/2022,S&P500 change %,1.51
02/10/2022,Bitcoin change %,0.53
09/10/2022,S&P500 change %,-1.55
09/10/2022,Bitcoin change %,-1.78
16/10/2022,S&P500 change %,4.74
16/10/2022,Bitcoin change %,0.71
23/10/2022,S&P500 change %,3.95
23/10/2022,Bitcoin change %,8.36
30/10/2022,S&P500 change %,-3.35
30/10/2022,Bitcoin change %,2.36
06/11/2022,S&P500 change %,5.9
06/11/2022,Bitcoin change %,-21.16
13/11/2022,S&P500 change %,-0.69
13/11/2022,Bitcoin change %,-0.57
