Country,International Immigrants,GDP(bns),International Immigrants 000s,Continent
Afghanistan,144098,20.62194688,144.098,Asia
Albania,48810,12.45786214,48.81,Europe
Algeria,250378,168.1441423,250.378,Africa
American Samoa,23608,0.653477888,23.608,Oceania
Andorra,45574,2.649303808,45.574,Europe
Angola,656434,104.128684,656.434,Africa
Antigua and Barbuda,29386,1.301036672,29.386,North America
Argentina,2281728,514.7724022,2281.728,South America
Armenia,190349,11.91530086,190.349,Asia
Australia,7685860,1490.967855,7685.86,Oceania
Austria,1738183,386.5142231,1738.183,Europe
Azerbaijan,252228,51.30718413,252.228,Asia
Bahamas,63583,10.70006784,63.583,North America
Bahrain,936094,33.20617984,936.094,Asia
Bangladesh,2115408,270.6955469,2115.408,Asia
Barbados,34869,3.90681856,34.869,North America
Belarus,1067090,58.48235213,1067.09,Europe
Belgium,2005479,466.836652,2005.479,Europe
Belize,62043,1.577955712,62.043,North America
Benin,394276,14.72555827,394.276,Africa
Bermuda,19739,6.416620032,19.739,North America
Bhutan,53612,2.221963776,53.612,Asia
Bosnia and Herzegovina,36042,17.82516531,36.042,Europe
Botswana,110268,14.81337651,110.268,Africa
Brazil,1079708,1749.104722,1079.708,South America
Bulgaria,184363,54.92371866,184.363,Europe
Burkina Faso,723989,15.2912087,723.989,Africa
Burundi,344767,3.2187328,344.767,Africa
Cambodia,79341,23.01219226,79.341,Asia
Cameroon,579209,37.68654643,579.209,Africa
Canada,8049323,1607.40239,8049.323,North America
Cayman Islands,29242,5.06036224,29.242,North America
Central African Republic,88546,2.001437824,88.546,Africa
Chad,547494,10.42634342,547.494,Africa
Chile,1645015,247.6391137,1645.015,South America
Colombia,1905393,299.8264463,1905.393,South America
Comoros,12496,1.091379968,12.496,Africa
Congo,387606,8.877391872,387.606,Africa
Costa Rica,520729,61.66897869,520.729,North America
Croatia,528056,52.55789363,528.056,Europe
Cuba,3024,81.05447424,3.024,North America
Cyprus,190366,23.57979136,190.366,Asia
Czechia,540921,203.0949499,540.921,Europe
Denmark,717574,327.7375406,717.574,Europe
Djibouti,119738,3.207792384,119.738,Africa
Dominica,8284,0.473932832,8.284,North America
Dominican Republic,603794,83.28706458,603.794,North America
Ecuador,784787,93.82010061,784.787,South America
Egypt,543937,412.2460488,543.937,Africa
El Salvador,42767,23.56082688,42.767,North America
Equatorial Guinea,230618,9.50920192,230.618,Africa
Estonia,199277,26.27991552,199.277,Europe
Eswatini,32858,4.31963392,32.858,Africa
Ethiopia,1085517,95.06917581,1085.517,Africa
Fiji,14087,4.40251136,14.087,Oceania
Finland,386052,247.606657,386.052,Europe
France,8524876,2411.255038,8524.876,Europe
Gabon,416651,15.1761193,416.651,Africa
Gambia,215659,1.672833024,215.659,Africa
Georgia,79368,16.55739085,79.368,Asia
Ghana,476412,62.72459571,476.412,Africa
Greece,1340456,185.3745398,1340.456,Europe
Grenada,7213,0.97935776,7.213,North America
Guam,80472,5.25972992,80.472,Oceania
Guatemala,84311,69.56094259,84.311,North America
Guinea,121437,12.92277658,121.437,Africa
