Date_old,Date,Price,Open,High,Low,Vol.,Change %,S&P500 change %,Bitcoin change %
"Nov 13, 2022",2022-11-13,"3,965.34","3,973.63","4,029.99","3,906.26",,-0.69%,-0.69,-0.57
"Nov 06, 2022",2022-11-06,"3,992.93","3,786.60","4,001.60","3,743.85",,5.90%,5.9,-21.16
"Oct 30, 2022",2022-10-30,"3,770.55","3,873.55","3,913.62","3,695.60",,-3.35%,-3.35,2.36
"Oct 23, 2022",2022-10-23,"3,901.06","3,770.75","3,906.05","3,741.38",,3.95%,3.95,8.36
"Oct 16, 2022",2022-10-16,"3,752.75","3,652.35","3,764.55","3,646.34",,4.74%,4.74,0.71
"Oct 09, 2022",2022-10-09,"3,583.07","3,651.20","3,711.73","3,490.00",,-1.55%,-1.55,-1.78
"Oct 02, 2022",2022-10-02,"3,639.66","3,624.07","3,807.35","3,605.60",,1.51%,1.51,0.53
"Sep 25, 2022",2022-09-25,"3,585.62","3,677.70","3,736.65","3,585.40",,-2.91%,-2.91,2.04
"Sep 18, 2022",2022-09-18,"3,693.23","3,838.00","3,907.68","3,646.35",,-4.65%,-4.65,-5.91
"Sep 11, 2022",2022-09-11,"3,873.33","4,089.90","4,119.69","3,836.15",,-4.77%,-4.77,-7.1
"Sep 04, 2022",2022-09-04,"4,067.36","3,935.35","4,077.00","3,887.33",,3.65%,3.65,9.17
"Aug 28, 2022",2022-08-28,"3,924.26","4,026.84","4,063.55","3,903.00",,-3.29%,-3.29,-1.01
"Aug 21, 2022",2022-08-21,"4,057.66","4,176.67","4,204.63","4,057.66",,-4.04%,-4.04,-5.23
"Aug 14, 2022",2022-08-14,"4,228.48","4,256.53","4,325.50","4,218.60",,-1.21%,-1.21,-13.52
"Aug 07, 2022",2022-08-07,"4,280.15","4,162.69","4,280.15","4,111.49",,3.26%,3.26,6.53
"Jul 31, 2022",2022-07-31,"4,145.19","4,103.38","4,167.63","4,080.38",,0.36%,0.36,-2.92
"Jul 24, 2022",2022-07-24,"4,130.29","3,969.80","4,140.00","3,910.40",,4.26%,4.26,5.23
"Jul 17, 2022",2022-07-17,"3,961.63","3,895.50","4,013.12","3,818.76",,2.55%,2.55,5.9
"Jul 10, 2022",2022-07-10,"3,863.16","3,870.40","3,881.22","3,720.25",,-0.93%,-0.93,-1.75
"Jul 03, 2022",2022-07-03,"3,899.38","3,772.00","3,918.25","3,740.80",,1.94%,1.94,12.18
"Jun 26, 2022",2022-06-26,"3,825.33","3,924.60","3,945.98","3,736.58",,-2.21%,-2.21,-10.45
"Jun 19, 2022",2022-06-19,"3,911.74","3,732.13","3,912.87","3,716.13",,6.45%,6.45,13.19
"Jun 12, 2022",2022-06-12,"3,674.84","3,800.54","3,837.97","3,636.82",,-5.79%,-5.79,-33.15
"Jun 05, 2022",2022-06-05,"3,900.86","4,152.40","4,169.04","3,900.01",,-5.05%,-5.05,-4.89
"May 29, 2022",2022-05-29,"4,108.54","4,139.15","4,177.60","4,073.60",,-1.20%,-1.2,2.88
"May 22, 2022",2022-05-22,"4,158.24","3,933.89","4,158.29","3,874.77",,6.58%,6.58,-1.38
"May 15, 2022",2022-05-15,"3,901.36","4,009.20","4,091.10","3,810.50",,-3.05%,-3.05,-2.15
"May 08, 2022",2022-05-08,"4,023.89","4,061.09","4,074.06","3,858.80",,-2.41%,-2.41,-15.19
"May 01, 2022",2022-05-01,"4,123.34","4,132.70","4,307.90","4,062.09",,-0.21%,-0.21,-5.8
"Apr 24, 2022",2022-04-24,"4,131.93","4,247.36","4,308.50","4,123.87",,-3.27%,-3.27,-4.49
"Apr 17, 2022",2022-04-17,"4,271.78","4,384.30","4,512.94","4,268.10",,-2.75%,-2.75,-2.39
"Apr 10, 2022",2022-04-10,"4,392.59","4,458.80","4,471.67","4,381.09",,-2.13%,-2.13,-5.58
"Apr 03, 2022",2022-04-03,"4,488.28","4,546.50","4,593.90","4,450.00",,-1.27%,-1.27,-6.64
"Mar 27, 2022",2022-03-27,"4,545.86","4,536.73","4,637.90","4,507.20",,0.06%,0.06,2.84
"Mar 20, 2022",2022-03-20,"4,543.04","4,462.24","4,546.07","4,423.90",,1.79%,1.79,5.48
"Mar 13, 2022",2022-03-13,"4,463.09","4,214.90","4,466.40","4,161.18",,6.16%,6.16,8.81
"Mar 06, 2022",2022-03-06,"4,204.31","4,319.93","4,324.00","4,157.20",,-2.88%,-2.88,-1.48
"Feb 27, 2022",2022-02-27,"4,328.87","4,326.72","4,416.60","4,280.04",,-1.27%,-1.27,0.72
"Feb 20, 2022",2022-02-20,"4,384.62","4,329.23","4,385.80","4,114.50",,0.82%,0.82,-2.43
"Feb 13, 2022",2022-02-13,"4,348.87","4,410.70","4,489.40","4,326.99",,-1.58%,-1.58,-5.01
"Feb 06, 2022",2022-02-06,"4,418.64","4,510.20","4,589.70","4,401.00",,-1.82%,-1.82,1.92
"Jan 30, 2022",2022-01-30,"4,500.54","4,423.30","4,595.10","4,411.09",,1.55%,1.55,8.49
"Jan 23, 2022",2022-01-23,"4,431.85","4,328.40","4,454.10","4,221.54",,0.77%,0.77,8.83
"Jan 16, 2022",2022-01-16,"4,397.93","4,612.60","4,614.40","4,395.00",,-5.68%,-5.68,-18.61
"Jan 09, 2022",2022-01-09,"4,662.85","4,642.60","4,748.61","4,581.80",,-0.30%,-0.3,3.42
"Jan 02, 2022",2022-01-02,"4,677.02","4,781.00","4,817.88","4,662.75",,-1.87%,-1.87,-12.71
"Dec 26, 2021",2021-12-26,"4,766.18","4,740.05","4,808.52","4,739.20",,0.85%,0.85,-5.29
"Dec 19, 2021",2021-12-19,"4,725.78","4,562.27","4,740.49","4,530.85",,2.28%,2.28,7.58
"Dec 12, 2021",2021-12-12,"4,620.64","4,707.40","4,732.34","4,599.40",,-1.94%,-1.94,-4.98
"Dec 05, 2021",2021-12-05,"4,712.02","4,565.70","4,713.60","4,541.53",,3.82%,3.82,0.24
"Nov 28, 2021",2021-11-28,"4,538.43","4,648.68","4,673.07","4,494.20",,-1.22%,-1.22,-10.17
"Nov 21, 2021",2021-11-21,"4,594.62","4,716.00","4,743.74","4,585.78",,-2.20%,-2.2,-8.29
