,Country,LOCATION,Value,year
0,Austria,AUT,8.7,2000
1,Austria,AUT,8.8,2001
2,Austria,AUT,9.1,2002
3,Austria,AUT,9.2,2003
4,Austria,AUT,9.2,2004
5,Austria,AUT,9.4,2005
6,Austria,AUT,9.6,2006
7,Austria,AUT,9.7,2007
8,Austria,AUT,10,2008
9,Austria,AUT,10.3,2009
10,Austria,AUT,10.5,2010
11,Austria,AUT,10.8,2011
12,Austria,AUT,11.3,2012
13,Austria,AUT,11.8,2013
14,Austria,AUT,12.5,2014
15,Austria,AUT,13.4,2015
16,Austria,AUT,14.6,2016
17,Austria,AUT,15.4,2017
18,Austria,AUT,16,2018
19,Austria,AUT,16.1,2019
20,Belgium,BEL,8.8,2000
21,Belgium,BEL,8.4,2001
22,Belgium,BEL,8.2,2002
23,Belgium,BEL,8.2,2003
24,Belgium,BEL,8.2,2004
25,Belgium,BEL,8.2,2005
26,Belgium,BEL,8.5,2006
27,Belgium,BEL,8.7,2007
28,Belgium,BEL,9,2008
29,Belgium,BEL,9.3,2009
30,Belgium,BEL,9.7,2010
31,Belgium,BEL,10.2,2011
32,Belgium,BEL,10.6,2012
33,Belgium,BEL,11.3,2013
34,Belgium,BEL,11.3,2014
35,Belgium,BEL,11.3,2015
36,Belgium,BEL,11.7,2016
37,Belgium,BEL,12,2017
38,Belgium,BEL,12.1,2018
39,Belgium,BEL,12.3,2019
40,Canada,CAN,5.1,2001
41,Canada,CAN,5.4,2006
42,Canada,CAN,5.7,2011
43,Canada,CAN,6.6,2016
44,Chile,CHL,5.3,2017
45,Czechia,CZE,2.2,2000
46,Czechia,CZE,1.9,2001
47,Czechia,CZE,2.1,2002
48,Czechia,CZE,2.3,2003
49,Czechia,CZE,2.4,2004
50,Czechia,CZE,2.5,2005
51,Czechia,CZE,2.7,2006
52,Czechia,CZE,3.1,2007
53,Czechia,CZE,3.8,2008
54,Czechia,CZE,4.2,2009
55,Czechia,CZE,4.1,2010
56,Czechia,CZE,4,2011
57,Czechia,CZE,4.1,2012
58,Czechia,CZE,4.1,2013
59,Czechia,CZE,4.2,2014
60,Czechia,CZE,4.3,2015
61,Czechia,CZE,4.4,2016
62,Czechia,CZE,4.6,2017
63,Czechia,CZE,4.9,2018
64,Czechia,CZE,5.3,2019
65,Denmark,DNK,4.9,2000
66,Denmark,DNK,4.8,2001
67,Denmark,DNK,5,2002
68,Denmark,DNK,4.9,2003
69,Denmark,DNK,5,2004
70,Denmark,DNK,4.9,2005
71,Denmark,DNK,5,2006
72,Denmark,DNK,5.1,2007
73,Denmark,DNK,5.4,2008
74,Denmark,DNK,5.8,2009
75,Denmark,DNK,5.9,2010
76,Denmark,DNK,6.2,2011
77,Denmark,DNK,6.4,2012
78,Denmark,DNK,6.7,2013
79,Denmark,DNK,7,2014
80,Denmark,DNK,7.5,2015
81,Denmark,DNK,8.1,2016
82,Denmark,DNK,8.5,2017
83,Denmark,DNK,8.8,2018
84,Denmark,DNK,9.1,2019
85,Estonia,EST,20.1,2002
86,Estonia,EST,19.5,2003
87,Estonia,EST,15.9,2012
88,Estonia,EST,16,2013
89,Estonia,EST,16.1,2014
90,Estonia,EST,16.1,2015
91,Estonia,EST,16.1,2016
92,Estonia,EST,16.2,2017
93,Estonia,EST,16.4,2018
94,Estonia,EST,16.3,2019
95,Finland,FIN,1.7,2000
96,Finland,FIN,1.8,2001
97,Finland,FIN,1.9,2002
98,Finland,FIN,2,2003
99,Finland,FIN,2,2004
100,Finland,FIN,2.1,2005
101,Finland,FIN,2.2,2006
102,Finland,FIN,2.3,2007
103,Finland,FIN,2.5,2008
104,Finland,FIN,2.7,2009
105,Finland,FIN,2.9,2010
106,Finland,FIN,3.1,2011
107,Finland,FIN,3.4,2012
108,Finland,FIN,3.6,2013
109,Finland,FIN,3.8,2014
110,Finland,FIN,4,2015
111,Finland,FIN,4.2,2016
112,Finland,FIN,4.4,2017
113,Finland,FIN,4.5,2018
114,Finland,FIN,4.7,2019
115,France,FRA,5.6,2000
116,France,FRA,5.7,2006
117,France,FRA,6,2007
118,France,FRA,6,2008
119,France,FRA,6,2009
120,France,FRA,6.1,2010
121,France,FRA,6.2,2011
122,France,FRA,6.3,2012
123,France,FRA,6.4,2013
124,France,FRA,6.6,2014
125,France,FRA,6.7,2015
126,France,FRA,6.8,2016
127,France,FRA,7,2017
128,France,FRA,7.1,2018
129,France,FRA,7.3,2019
130,Germany,DEU,8.9,2000
131,Germany,DEU,8.9,2001
132,Germany,DEU,8.9,2002
133,Germany,DEU,8.9,2003
134,Germany,DEU,9,2004
135,Germany,DEU,8.3,2005
136,Germany,DEU,8.3,2006
137,Germany,DEU,8.4,2007
138,Germany,DEU,8.4,2008
139,Germany,DEU,8.4,2009
140,Germany,DEU,8.3,2010
141,Germany,DEU,8.4,2011
142,Germany,DEU,8.6,2012
143,Germany,DEU,9,2013
144,Germany,DEU,9.5,2014
145,Germany,DEU,10.1,2015
146,Germany,DEU,11.1,2016
147,Germany,DEU,12.2,2017
148,Germany,DEU,12.9,2018
149,Germany,DEU,13.1,2019
150,Greece,GRC,2.6,2000
151,Greece,GRC,4.9,2006
152,Greece,GRC,5.1,2007
153,Greece,GRC,5.8,2008
154,Greece,GRC,6.7,2009
155,Greece,GRC,7.7,2010
156,Greece,GRC,7.5,2011
157,Greece,GRC,7,2012
158,Greece,GRC,7.2,2013
159,Greece,GRC,6.4,2014
160,Greece,GRC,6.6,2015
161,Greece,GRC,6.5,2016
162,Greece,GRC,5.1,2017
163,Hungary,HUN,1.5,2000
164,Hungary,HUN,1.1,2001
165,Hungary,HUN,1.1,2002
166,Hungary,HUN,1.1,2003
167,Hungary,HUN,1.3,2004
168,Hungary,HUN,1.4,2005
169,Hungary,HUN,1.5,2006
170,Hungary,HUN,1.7,2007
171,Hungary,HUN,1.7,2008
172,Hungary,HUN,1.8,2009
173,Hungary,HUN,2,2010
174,Hungary,HUN,2.1,2011
175,Hungary,HUN,1.4,2012
176,Hungary,HUN,1.4,2013
177,Hungary,HUN,1.4,2014
178,Hungary,HUN,1.5,2015
179,Hungary,HUN,1.6,2016
180,Hungary,HUN,1.6,2017
181,Hungary,HUN,1.7,2018
182,Hungary,HUN,1.9,2019
183,Iceland,ISL,3.5,2002
184,Iceland,ISL,3.6,2003
185,Iceland,ISL,3.5,2004
186,Iceland,ISL,3.6,2005
187,Iceland,ISL,4.6,2006
188,Iceland,ISL,6.1,2007
189,Iceland,ISL,7.6,2008
190,Iceland,ISL,7.8,2009
191,Iceland,ISL,6.8,2010
192,Iceland,ISL,6.6,2011
193,Iceland,ISL,6.5,2012
194,Iceland,ISL,6.6,2013
195,Iceland,ISL,6.9,2014
196,Iceland,ISL,7.4,2015
197,Iceland,ISL,8,2016
198,Iceland,ISL,9,2017
199,Iceland,ISL,11.2,2018
200,Iceland,ISL,13.1,2019
201,Ireland,IRL,3.1,2000
202,Ireland,IRL,5.6,2003
203,Ireland,IRL,9.4,2007
204,Ireland,IRL,11.6,2008
205,Ireland,IRL,12.6,2009
206,Ireland,IRL,12.5,2010
207,Ireland,IRL,12.9,2011
208,Ireland,IRL,11.5,2012
209,Ireland,IRL,11.8,2013
210,Ireland,IRL,11.9,2014
211,Ireland,IRL,12,2015
212,Ireland,IRL,12.9,2016
213,Ireland,IRL,11.9,2017
214,Ireland,IRL,12.4,2018
215,Ireland,IRL,12.8,2019
216,Italy,ITA,2.2,2000
217,Italy,ITA,2.4,2001
