LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,FBORNUNEMP,MEN,PC_FBORNLF,A,2017,5.2,
AUS,FBORNUNEMP,MEN,PC_FBORNLF,A,2018,4.7,
AUS,FBORNUNEMP,MEN,PC_FBORNLF,A,2019,4.9,
AUS,FBORNUNEMP,MEN,PC_FBORNLF,A,2020,6.6,
AUS,FBORNUNEMP,MEN,PC_FBORNLF,A,2021,4.9,
AUS,FBORNUNEMP,TOT,PC_FBORNLF,A,2017,5.9,
AUS,FBORNUNEMP,TOT,PC_FBORNLF,A,2018,5.5,
AUS,FBORNUNEMP,TOT,PC_FBORNLF,A,2019,5.5,
AUS,FBORNUNEMP,TOT,PC_FBORNLF,A,2020,7.1,
AUS,FBORNUNEMP,TOT,PC_FBORNLF,A,2021,5.3,
AUS,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2017,6.9,
AUS,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2018,6.5,
AUS,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2019,6.2,
AUS,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2020,7.7,
AUS,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2021,5.8,
AUT,FBORNUNEMP,MEN,PC_FBORNLF,A,2017,10.9,
AUT,FBORNUNEMP,MEN,PC_FBORNLF,A,2018,9.6,
AUT,FBORNUNEMP,MEN,PC_FBORNLF,A,2019,8.2,
AUT,FBORNUNEMP,MEN,PC_FBORNLF,A,2020,11.2,
AUT,FBORNUNEMP,MEN,PC_FBORNLF,A,2021,11,
AUT,FBORNUNEMP,TOT,PC_FBORNLF,A,2017,10.7,
AUT,FBORNUNEMP,TOT,PC_FBORNLF,A,2018,9.4,
AUT,FBORNUNEMP,TOT,PC_FBORNLF,A,2019,8.3,
AUT,FBORNUNEMP,TOT,PC_FBORNLF,A,2020,11.6,
AUT,FBORNUNEMP,TOT,PC_FBORNLF,A,2021,11.3,
AUT,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2017,10.5,
AUT,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2018,9.2,
AUT,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2019,8.4,
AUT,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2020,12.3,
AUT,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2021,11.6,
BEL,FBORNUNEMP,MEN,PC_FBORNLF,A,2017,13.1,
BEL,FBORNUNEMP,MEN,PC_FBORNLF,A,2018,12.4,
BEL,FBORNUNEMP,MEN,PC_FBORNLF,A,2019,10.3,
BEL,FBORNUNEMP,MEN,PC_FBORNLF,A,2020,11.2,
BEL,FBORNUNEMP,MEN,PC_FBORNLF,A,2021,10.5,
BEL,FBORNUNEMP,TOT,PC_FBORNLF,A,2017,13.4,
BEL,FBORNUNEMP,TOT,PC_FBORNLF,A,2018,11.5,
BEL,FBORNUNEMP,TOT,PC_FBORNLF,A,2019,10.4,
BEL,FBORNUNEMP,TOT,PC_FBORNLF,A,2020,11,
BEL,FBORNUNEMP,TOT,PC_FBORNLF,A,2021,11,
BEL,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2017,13.8,
BEL,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2018,10.5,
BEL,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2019,10.4,
BEL,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2020,10.7,
BEL,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2021,11.8,
CAN,FBORNUNEMP,MEN,PC_FBORNLF,A,2017,6.3,
CAN,FBORNUNEMP,MEN,PC_FBORNLF,A,2018,6,
CAN,FBORNUNEMP,MEN,PC_FBORNLF,A,2019,5.9,
CAN,FBORNUNEMP,MEN,PC_FBORNLF,A,2020,9.8,
CAN,FBORNUNEMP,MEN,PC_FBORNLF,A,2021,8,
CAN,FBORNUNEMP,TOT,PC_FBORNLF,A,2017,6.8,
CAN,FBORNUNEMP,TOT,PC_FBORNLF,A,2018,6.4,
CAN,FBORNUNEMP,TOT,PC_FBORNLF,A,2019,6.3,
CAN,FBORNUNEMP,TOT,PC_FBORNLF,A,2020,10.8,
CAN,FBORNUNEMP,TOT,PC_FBORNLF,A,2021,8.5,
CAN,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2017,7.3,
CAN,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2018,6.7,
CAN,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2019,6.7,
CAN,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2020,12,
CAN,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2021,9,
CZE,FBORNUNEMP,MEN,PC_FBORNLF,A,2017,2.3,
CZE,FBORNUNEMP,MEN,PC_FBORNLF,A,2018,1.8,
CZE,FBORNUNEMP,MEN,PC_FBORNLF,A,2019,1.3,
CZE,FBORNUNEMP,MEN,PC_FBORNLF,A,2020,2.6,
CZE,FBORNUNEMP,MEN,PC_FBORNLF,A,2021,2.9,
CZE,FBORNUNEMP,TOT,PC_FBORNLF,A,2017,3,
CZE,FBORNUNEMP,TOT,PC_FBORNLF,A,2018,2.5,
CZE,FBORNUNEMP,TOT,PC_FBORNLF,A,2019,2.9,
CZE,FBORNUNEMP,TOT,PC_FBORNLF,A,2020,3,
CZE,FBORNUNEMP,TOT,PC_FBORNLF,A,2021,3.3,
CZE,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2017,3.9,
CZE,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2018,3.4,
CZE,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2019,4.9,
CZE,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2020,3.6,
CZE,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2021,4,
DNK,FBORNUNEMP,MEN,PC_FBORNLF,A,2017,9.9,
DNK,FBORNUNEMP,MEN,PC_FBORNLF,A,2018,9,
DNK,FBORNUNEMP,MEN,PC_FBORNLF,A,2019,7.9,
DNK,FBORNUNEMP,MEN,PC_FBORNLF,A,2020,7.6,
DNK,FBORNUNEMP,MEN,PC_FBORNLF,A,2021,7.3,
DNK,FBORNUNEMP,TOT,PC_FBORNLF,A,2017,10.6,
DNK,FBORNUNEMP,TOT,PC_FBORNLF,A,2018,9.8,
DNK,FBORNUNEMP,TOT,PC_FBORNLF,A,2019,8.4,
DNK,FBORNUNEMP,TOT,PC_FBORNLF,A,2020,8.5,
DNK,FBORNUNEMP,TOT,PC_FBORNLF,A,2021,7.3,
DNK,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2017,11.4,
DNK,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2018,10.7,
DNK,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2019,9,
DNK,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2020,9.5,
DNK,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2021,5.6,
FIN,FBORNUNEMP,MEN,PC_FBORNLF,A,2017,14.3,
FIN,FBORNUNEMP,MEN,PC_FBORNLF,A,2018,11.9,
FIN,FBORNUNEMP,MEN,PC_FBORNLF,A,2019,10.8,
FIN,FBORNUNEMP,MEN,PC_FBORNLF,A,2020,14.1,
FIN,FBORNUNEMP,MEN,PC_FBORNLF,A,2021,11.9,
FIN,FBORNUNEMP,TOT,PC_FBORNLF,A,2017,15.8,
FIN,FBORNUNEMP,TOT,PC_FBORNLF,A,2018,14.1,
FIN,FBORNUNEMP,TOT,PC_FBORNLF,A,2019,11.9,
FIN,FBORNUNEMP,TOT,PC_FBORNLF,A,2020,13.5,
FIN,FBORNUNEMP,TOT,PC_FBORNLF,A,2021,13.7,
FIN,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2017,17.5,
FIN,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2018,16.6,
FIN,FBORNUNEMP,WOMEN,PC_FBORNLF,A,2019,13.2,
