Area Code,Name,Geography,All,UK,Non-UK,% foreign born 
E06000047,County Durham ,Unitary Authority,519000,505000,14000,2.697495183
E06000005,Darlington,Unitary Authority,105000,98000,7000,6.666666667
E06000001,Hartlepool,Unitary Authority,92000,89000,3000,3.260869565
E06000002,Middlesbrough,Unitary Authority,139000,123000,17000,12.23021583
E06000057,Northumberland ,Unitary Authority,311000,305000,7000,2.250803859
E06000003,Redcar and Cleveland,Unitary Authority,134000,130000,4000,2.985074627
E06000004,Stockton-on-Tees,Unitary Authority,195000,183000,12000,6.153846154
E08000037,Gateshead,Metropolitan District,202000,187000,15000,7.425742574
E08000021,Newcastle upon Tyne,Metropolitan District,296000,244000,52000,17.56756757
E08000022,North Tyneside,Metropolitan District,204000,194000,10000,4.901960784
E08000023,South Tyneside,Metropolitan District,148000,142000,6000,4.054054054
E08000024,Sunderland,Metropolitan District,275000,268000,7000,2.545454545
E06000008,Blackburn with Darwen,Unitary Authority,146000,124000,23000,15.75342466
E06000009,Blackpool,Unitary Authority,134000,128000,6000,4.47761194
E06000049,Cheshire East ,Unitary Authority,376000,344000,32000,8.510638298
E06000050,Cheshire West and Chester,Unitary Authority,336000,312000,24000,7.142857143
E06000006,Halton,Unitary Authority,127000,123000,4000,3.149606299
E06000007,Warrington,Unitary Authority,210000,190000,19000,9.047619048
E07000026,Allerdale,Non-metropolitan District,95000,92000,4000,4.210526316
E07000027,Barrow-in-Furness,Non-metropolitan District,65000,61000,4000,6.153846154
E07000028,Carlisle,Non-metropolitan District,107000,102000,5000,4.672897196
E07000029,Copeland,Non-metropolitan District,66000,62000,4000,6.060606061
E07000030,Eden,Non-metropolitan District,52000,49000,2000,3.846153846
E07000031,South Lakeland,Non-metropolitan District,100000,94000,6000,6
E08000001,Bolton,Metropolitan District,286000,245000,41000,14.33566434
E08000002,Bury,Metropolitan District,188000,171000,18000,9.574468085
E08000003,Manchester,Metropolitan District,558000,410000,148000,26.52329749
E08000004,Oldham,Metropolitan District,236000,210000,25000,10.59322034
E08000005,Rochdale,Metropolitan District,217000,193000,24000,11.05990783
E08000006,Salford,Metropolitan District,255000,204000,51000,20
E08000007,Stockport,Metropolitan District,292000,272000,20000,6.849315068
E08000008,Tameside,Metropolitan District,224000,206000,18000,8.035714286
E08000009,Trafford,Metropolitan District,239000,201000,38000,15.89958159
E08000010,Wigan,Metropolitan District,324000,301000,23000,7.098765432
E07000117,Burnley,Non-metropolitan District,86000,81000,5000,5.813953488
E07000118,Chorley,Non-metropolitan District,116000,112000,4000,3.448275862
E07000119,Fylde,Non-metropolitan District,78000,75000,3000,3.846153846
E07000120,Hyndburn,Non-metropolitan District,79000,77000,2000,2.53164557
E07000121,Lancaster,Non-metropolitan District,140000,133000,7000,5
E07000122,Pendle,Non-metropolitan District,90000,79000,11000,12.22222222
E07000123,Preston,Non-metropolitan District,138000,109000,29000,21.01449275
E07000124,Ribble Valley,Non-metropolitan District,58000,55000,3000,5.172413793
E07000125,Rossendale,Non-metropolitan District,70000,67000,3000,4.285714286
E07000126,South Ribble,Non-metropolitan District,110000,106000,4000,3.636363636
E07000127,West Lancashire,Non-metropolitan District,112000,101000,11000,9.821428571
E07000128,Wyre,Non-metropolitan District,110000,105000,5000,4.545454545
E08000011,Knowsley,Metropolitan District,148000,138000,10000,6.756756757
E08000012,Liverpool,Metropolitan District,494000,436000,58000,11.74089069
E08000014,Sefton,Metropolitan District,271000,258000,13000,4.79704797
E08000013,St. Helens,Metropolitan District,179000,170000,9000,5.027932961
E08000015,Wirral,Metropolitan District,319000,305000,14000,4.388714734
E06000011,East Riding of Yorkshire,Unitary Authority,333000,318000,15000,4.504504505
E06000010,"Kingston upon Hull, City of",Unitary Authority,258000,246000,12000,4.651162791
E06000012,North East Lincolnshire,Unitary Authority,157000,150000,7000,4.458598726
E06000013,North Lincolnshire,Unitary Authority,171000,154000,17000,9.941520468
E06000014,York,Unitary Authority,208000,184000,23000,11.05769231
E07000163,Craven,Non-metropolitan District,56000,52000,3000,5.357142857
E07000164,Hambleton,Non-metropolitan District,89000,84000,5000,5.617977528
E07000165,Harrogate,Non-metropolitan District,156000,143000,13000,8.333333333
E07000166,Richmondshire,Non-metropolitan District,49000,45000,4000,8.163265306
E07000167,Ryedale,Non-metropolitan District,54000,53000,Confidential,#VALUE!
E07000168,Scarborough,Non-metropolitan District,106000,102000,4000,3.773584906
E07000169,Selby,Non-metropolitan District,89000,86000,2000,2.247191011
E08000016,Barnsley,Metropolitan District,247000,229000,18000,7.287449393
E08000017,Doncaster,Metropolitan District,304000,281000,23000,7.565789474
E08000018,Rotherham,Metropolitan District,263000,249000,14000,5.323193916
E08000019,Sheffield,Metropolitan District,582000,488000,92000,15.80756014
E08000032,Bradford,Metropolitan District,532000,457000,75000,14.09774436
E08000033,Calderdale,Metropolitan District,210000,195000,16000,7.619047619
E08000034,Kirklees,Metropolitan District,440000,386000,53000,12.04545455
E08000035,Leeds,Metropolitan District,792000,697000,95000,11.99494949
E08000036,Wakefield,Metropolitan District,341000,311000,30000,8.797653959
E06000015,Derby,Unitary Authority,259000,214000,45000,17.37451737
E06000016,Leicester,Unitary Authority,359000,232000,126000,35.09749304
E06000018,Nottingham,Unitary Authority,327000,247000,80000,24.4648318
E06000017,Rutland,Unitary Authority,36000,33000,3000,8.333333333
E07000032,Amber Valley,Non-metropolitan District,125000,119000,6000,4.8
E07000033,Bolsover,Non-metropolitan District,79000,78000,Confidential,#VALUE!
E07000034,Chesterfield,Non-metropolitan District,104000,94000,9000,8.653846154
E07000035,Derbyshire Dales,Non-metropolitan District,70000,68000,2000,2.857142857
E07000036,Erewash,Non-metropolitan District,116000,112000,3000,2.586206897
E07000037,High Peak,Non-metropolitan District,91000,89000,2000,2.197802198
E07000038,North East Derbyshire,Non-metropolitan District,100000,97000,3000,3
E07000039,South Derbyshire,Non-metropolitan District,103000,97000,6000,5.825242718
E07000129,Blaby,Non-metropolitan District,100000,92000,8000,8
E07000130,Charnwood,Non-metropolitan District,183000,155000,27000,14.75409836
E07000131,Harborough,Non-metropolitan District,92000,80000,12000,13.04347826
E07000132,Hinckley and Bosworth,Non-metropolitan District,112000,109000,3000,2.678571429
E07000133,Melton,Non-metropolitan District,51000,47000,3000,5.882352941
E07000134,North West Leicestershire,Non-metropolitan District,101000,92000,9000,8.910891089
E07000135,Oadby and Wigston,Non-metropolitan District,55000,37000,18000,32.72727273
E07000136,Boston,Non-metropolitan District,68000,59000,9000,13.23529412
E07000137,East Lindsey,Non-metropolitan District,137000,135000,2000,1.459854015
E07000138,Lincoln,Non-metropolitan District,96000,79000,18000,18.75
E07000139,North Kesteven,Non-metropolitan District,115000,108000,6000,5.217391304
E07000140,South Holland,Non-metropolitan District,94000,88000,6000,6.382978723
E07000141,South Kesteven,Non-metropolitan District,144000,132000,12000,8.333333333
E07000142,West Lindsey,Non-metropolitan District,95000,91000,4000,4.210526316
E07000150,Corby,Non-metropolitan District,73000,58000,15000,20.54794521
E07000151,Daventry,Non-metropolitan District,81000,76000,5000,6.172839506
E07000152,East Northamptonshire,Non-metropolitan District,92000,87000,5000,5.434782609
E07000153,Kettering,Non-metropolitan District,102000,89000,13000,12.74509804
E07000154,Northampton,Non-metropolitan District,230000,166000,64000,27.82608696
E07000155,South Northamptonshire,Non-metropolitan District,92000,84000,8000,8.695652174
E07000156,Wellingborough,Non-metropolitan District,80000,70000,10000,12.5
E07000170,Ashfield,Non-metropolitan District,127000,121000,6000,4.724409449
E07000171,Bassetlaw,Non-metropolitan District,113000,108000,5000,4.424778761
E07000172,Broxtowe,Non-metropolitan District,113000,102000,11000,9.734513274
E07000173,Gedling,Non-metropolitan District,119000,112000,7000,5.882352941
E07000174,Mansfield,Non-metropolitan District,109000,101000,8000,7.339449541
E07000175,Newark and Sherwood,Non-metropolitan District,121000,115000,6000,4.958677686
E07000176,Rushcliffe,Non-metropolitan District,116000,100000,16000,13.79310345
E06000019,"Herefordshire, County of",Unitary Authority,190000,173000,17000,8.947368421
E06000051,Shropshire,Unitary Authority,311000,291000,20000,6.430868167
E06000021,Stoke-on-Trent,Unitary Authority,254000,225000,29000,11.41732283
E06000020,Telford and Wrekin,Unitary Authority,176000,156000,20000,11.36363636
E07000192,Cannock Chase,Non-metropolitan District,98000,90000,8000,8.163265306
E07000193,East Staffordshire,Non-metropolitan District,116000,103000,14000,12.06896552
E07000194,Lichfield,Non-metropolitan District,102000,97000,5000,4.901960784
E07000195,Newcastle-under-Lyme,Non-metropolitan District,129000,124000,5000,3.875968992
E07000196,South Staffordshire,Non-metropolitan District,110000,108000,2000,1.818181818
E07000197,Stafford,Non-metropolitan District,132000,119000,14000,10.60606061
E07000198,Staffordshire Moorlands,Non-metropolitan District,97000,92000,5000,5.154639175
E07000199,Tamworth,Non-metropolitan District,76000,74000,2000,2.631578947
E07000218,North Warwickshire,Non-metropolitan District,63000,61000,2000,3.174603175
E07000219,Nuneaton and Bedworth,Non-metropolitan District,129000,111000,17000,13.17829457
E07000220,Rugby,Non-metropolitan District,106000,92000,14000,13.20754717
E07000221,Stratford-on-Avon,Non-metropolitan District,123000,111000,12000,9.756097561
E07000222,Warwick,Non-metropolitan District,139000,116000,23000,16.54676259
E08000025,Birmingham,Metropolitan District,1153000,862000,291000,25.23850824
E08000026,Coventry,Metropolitan District,376000,281000,94000,25
E08000027,Dudley,Metropolitan District,317000,305000,13000,4.100946372
E08000028,Sandwell,Metropolitan District,330000,260000,71000,21.51515152
E08000029,Solihull,Metropolitan District,214000,190000,25000,11.68224299
E08000030,Walsall,Metropolitan District,284000,254000,29000,10.21126761
E08000031,Wolverhampton,Metropolitan District,261000,212000,49000,18.77394636
E07000234,Bromsgrove,Non-metropolitan District,96000,92000,4000,4.166666667
E07000235,Malvern Hills,Non-metropolitan District,76000,66000,10000,13.15789474
E07000236,Redditch,Non-metropolitan District,85000,72000,13000,15.29411765
E07000237,Worcester,Non-metropolitan District,103000,87000,15000,14.5631068
E07000238,Wychavon,Non-metropolitan District,126000,117000,8000,6.349206349
E07000239,Wyre Forest,Non-metropolitan District,100000,89000,11000,11
E06000055,Bedford,Unitary Authority,174000,148000,27000,15.51724138
E06000056,Central Bedfordshire,Unitary Authority,291000,256000,35000,12.02749141
E06000032,Luton,Unitary Authority,222000,145000,78000,35.13513514
E06000031,Peterborough,Unitary Authority,203000,160000,42000,20.68965517
E06000033,Southend-on-Sea,Unitary Authority,184000,165000,19000,10.32608696
E06000034,Thurrock,Unitary Authority,176000,137000,39000,22.15909091
E07000008,Cambridge,Non-metropolitan District,121000,77000,45000,37.19008264
E07000009,East Cambridgeshire,Non-metropolitan District,90000,81000,9000,10
