LA code,LA name,Born outside UK (2011 %),Born outside UK (2021 %)
E06000001,Hartlepool,2.8,4
E06000002,Middlesbrough,8.2,12.3
E06000003,Redcar and Cleveland,2.2,2.9
E06000004,Stockton-on-Tees,4.6,6.2
E06000005,Darlington,5.2,7.8
E06000006,Halton,2.7,4.8
E06000007,Warrington,5.7,9.4
E06000008,Blackburn with Darwen,14.8,18.1
E06000009,Blackpool,5.4,7.9
E06000010,"Kingston Upon Hull, City of",8.5,13.1
E06000011,East Riding of Yorkshire,3.9,5
E06000012,North East Lincolnshire,4.4,6.6
E06000013,North Lincolnshire,6.5,9.4
E06000014,York,9.2,10.8
E06000015,Derby,13.9,19.6
E06000016,Leicester,33.6,41.1
E06000017,Rutland,6.4,8.3
E06000018,Nottingham,19.5,24.6
E06000019,"Herefordshire, County of",6.7,8.6
E06000020,Telford and Wrekin,7.3,11.4
E06000021,Stoke-on-Trent,8.3,13.1
E06000022,Bath and North East Somerset,9.3,12.1
E06000023,"Bristol, City of",14.7,18.8
E06000024,North Somerset,5.8,8.4
E06000025,South Gloucestershire,6.6,10.6
E06000026,Plymouth,7.1,9.2
E06000027,Torbay,5.4,7.1
E06000030,Swindon,12.9,20.4
E06000031,Peterborough,20.6,28.2
E06000032,Luton,30.9,38.4
E06000033,Southend-on-Sea,9.9,12.5
E06000034,Thurrock,12,21
E06000035,Medway,10.4,13.8
E06000036,Bracknell Forest,13.2,17.4
E06000037,West Berkshire,9,12
E06000038,Reading,24.8,33.5
E06000039,Slough,39,44
E06000040,Windsor and Maidenhead,17.4,21.7
E06000041,Wokingham,12.3,18.9
E06000042,Milton Keynes,18.5,25.7
E06000043,Brighton and Hove,15.7,19.6
E06000044,Portsmouth,12.2,16.9
E06000045,Southampton,17.6,24.1
E06000046,Isle of Wight,5.2,6.1
E06000047,County Durham,3.2,4.4
E06000049,Cheshire East,5.5,8.3
E06000050,Cheshire West and Chester,4.9,7.3
E06000051,Shropshire,4.7,5.9
E06000052,Cornwall,4.4,5.3
E06000053,Isles of Scilly,6,5.6
E06000054,Wiltshire,7.9,9.9
E06000055,Bedford,17.6,21.4
E06000056,Central Bedfordshire,7.9,11
E06000057,Northumberland,2.8,3.5
E06000058,"Bournemouth, Christchurch and Poole",11.1,15.5
E06000059,Dorset,5.6,6.5
E06000060,Buckinghamshire,12.9,16.6
E06000061,North Northamptonshire,9.7,15.5
E06000062,West Northamptonshire,11.8,18.8
E07000008,Cambridge,29.4,38
E07000009,East Cambridgeshire,9.8,11.8
E07000010,Fenland,8.6,12.5
E07000011,Huntingdonshire,9.6,12.4
E07000012,South Cambridgeshire,11.1,16.2
E07000026,Allerdale,2.7,3.2
E07000027,Barrow-in-Furness,2.9,3.8
E07000028,Carlisle,4.9,6.7
E07000029,Copeland,2.9,2.9
E07000030,Eden,3.4,5.1
E07000031,South Lakeland,4.8,6.1
E07000032,Amber Valley,3,3.7
E07000033,Bolsover,3,5.7
E07000034,Chesterfield,3.8,4.9
E07000035,Derbyshire Dales,3.3,3.8
E07000036,Erewash,3.6,5.3
E07000037,High Peak,3.6,4.2
E07000038,North East Derbyshire,2.4,3.1
E07000039,South Derbyshire,3.9,6
E07000040,East Devon,4.9,6.2
E07000041,Exeter,11.1,15
E07000042,Mid Devon,4.9,6.2
E07000043,North Devon,4.5,5.5
E07000044,South Hams,5.4,6.2
E07000045,Teignbridge,4.7,5.2
E07000046,Torridge,3.4,4
E07000047,West Devon,4.8,5.4
E07000061,Eastbourne,12,15.2
E07000062,Hastings,8.7,11.4
E07000063,Lewes,7.5,8.9
E07000064,Rother,6.4,7.6
E07000065,Wealden,6.8,7.6
E07000066,Basildon,7.2,11.8
E07000067,Braintree,5.9,7.2
E07000068,Brentwood,8.3,11.2
E07000069,Castle Point,3.6,4.8
E07000070,Chelmsford,7.6,11.9
E07000071,Colchester,11.2,14.5
E07000072,Epping Forest,9.1,13.9
E07000073,Harlow,11.6,18.3
E07000074,Maldon,3.9,4.5
E07000075,Rochford,3.6,4
E07000076,Tendring,4.3,5
E07000077,Uttlesford,7.3,8.7
E07000078,Cheltenham,11.2,14.6
E07000079,Cotswold,7.1,8.8
E07000080,Forest of Dean,3.9,5.1
E07000081,Gloucester,10.5,14.4
E07000082,Stroud,5.4,6.6
E07000083,Tewkesbury,6.4,8.2
E07000084,Basingstoke and Deane,10.7,14.9
E07000085,East Hampshire,8.3,9.5
E07000086,Eastleigh,7.4,9.3
E07000087,Fareham,5.6,6.8
E07000088,Gosport,6.1,7.3
E07000089,Hart,9.6,11.7
E07000090,Havant,5.1,6.4
E07000091,New Forest,6,6.9
E07000092,Rushmoor,17.6,23.8
E07000093,Test Valley,8.3,11.1
E07000094,Winchester,8.9,11
E07000095,Broxbourne,11.8,17.9
E07000096,Dacorum,10.6,14.3
E07000098,Hertsmere,17,22.9
E07000099,North Hertfordshire,10.2,11.6
E07000102,Three Rivers,13.9,19
E07000103,Watford,24.7,34
E07000105,Ashford,9.3,13.4
E07000106,Canterbury,11,12.9
E07000107,Dartford,11.3,19.7
E07000108,Dover,7.3,8.4
E07000109,Gravesham,14.1,19.2
E07000110,Maidstone,9.3,14
E07000111,Sevenoaks,8.2,11
E07000112,Folkestone and Hythe,9.2,10.5
E07000113,Swale,5.7,8
E07000114,Thanet,8.6,9.8
E07000115,Tonbridge and Malling,6.9,9
E07000116,Tunbridge Wells,9.9,13.5
E07000117,Burnley,7.7,12.7
E07000118,Chorley,3.7,5
E07000119,Fylde,5,6
E07000120,Hyndburn,7.2,9
E07000121,Lancaster,7.3,9.5
E07000122,Pendle,10.9,17.7
E07000123,Preston,13.4,19.3
E07000124,Ribble Valley,3.6,4.2
E07000125,Rossendale,4.6,5
E07000126,South Ribble,3.8,5
E07000127,West Lancashire,3.9,5.9
E07000128,Wyre,3.3,3.7
E07000129,Blaby,6.6,9.6
E07000130,Charnwood,10.4,13.1
E07000131,Harborough,5.4,7.2
E07000132,Hinckley and Bosworth,4.1,6.2
E07000133,Melton,5.1,6.3
E07000134,North West Leicestershire,3.9,6.1
E07000135,Oadby and Wigston,15.1,19.4
E07000136,Boston,15.1,23.6
E07000137,East Lindsey,3.7,4.1
E07000138,Lincoln,9.8,15.1
E07000139,North Kesteven,5.2,6.1
E07000140,South Holland,9.6,14.6
E07000141,South Kesteven,6.8,8.9
